rental_date
"2005-05-24 22:53:30"
"2005-05-24 22:54:33"
"2005-05-24 23:03:39"
"2005-05-24 23:04:41"
"2005-05-24 23:05:21"
"2005-05-24 23:08:07"
"2005-05-24 23:11:53"
"2005-05-24 23:31:46"
"2005-05-25 00:00:40"
"2005-05-25 00:02:21"
"2005-05-25 00:09:02"
"2005-05-25 00:19:27"
"2005-05-25 00:22:55"
"2005-05-25 00:31:15"
"2005-05-25 00:39:22"
"2005-05-25 00:43:11"
"2005-05-25 01:06:36"
"2005-05-25 01:10:47"
"2005-05-25 01:17:24"
"2005-05-25 01:48:41"
"2005-05-25 01:59:46"
"2005-05-25 02:19:23"
"2005-05-25 02:40:21"
"2005-05-25 02:53:02"
"2005-05-25 03:21:20"
"2005-05-25 03:36:50"
"2005-05-25 03:41:50"
"2005-05-25 03:42:37"
"2005-05-25 03:47:12"
"2005-05-25 04:01:32"
"2005-05-25 04:05:17"
"2005-05-25 04:06:21"
"2005-05-25 04:18:51"
"2005-05-25 04:19:28"
"2005-05-25 04:24:36"
"2005-05-25 04:36:26"
"2005-05-25 04:44:31"
"2005-05-25 04:47:44"
"2005-05-25 04:51:46"
"2005-05-25 05:09:04"
"2005-05-25 05:12:29"
"2005-05-25 05:24:58"
"2005-05-25 05:39:25"
"2005-05-25 05:53:23"
"2005-05-25 05:59:39"
"2005-05-25 06:04:08"
"2005-05-25 06:05:20"
"2005-05-25 06:20:46"
"2005-05-25 06:39:35"
"2005-05-25 06:44:53"
"2005-05-25 06:49:10"
"2005-05-25 06:51:29"
"2005-05-25 07:19:16"
"2005-05-25 07:23:25"
"2005-05-25 08:26:13"
"2005-05-25 08:28:11"
"2005-05-25 08:43:32"
"2005-05-25 08:53:14"
"2005-05-25 08:56:42"
"2005-05-25 08:58:25"
"2005-05-25 09:01:57"
"2005-05-25 09:18:52"
"2005-05-25 09:19:16"
"2005-05-25 09:21:29"
"2005-05-25 09:32:03"
"2005-05-25 09:35:12"
"2005-05-25 09:41:01"
"2005-05-25 09:47:31"
"2005-05-25 10:10:14"
"2005-05-25 10:15:23"
"2005-05-25 10:26:39"
"2005-05-25 10:52:13"
"2005-05-25 11:00:07"
"2005-05-25 11:09:48"
"2005-05-25 11:13:34"
"2005-05-25 11:30:37"
"2005-05-25 11:31:59"
"2005-05-25 11:35:18"
"2005-05-25 12:11:07"
"2005-05-25 12:12:07"
"2005-05-25 12:15:19"
"2005-05-25 12:17:46"
"2005-05-25 12:30:15"
"2005-05-25 12:36:30"
"2005-05-25 13:05:34"
"2005-05-25 13:36:12"
"2005-05-25 13:52:43"
"2005-05-25 14:13:54"
"2005-05-25 14:28:29"
"2005-05-25 14:31:25"
"2005-05-25 14:57:22"
"2005-05-25 15:38:46"
"2005-05-25 15:54:16"
"2005-05-25 16:03:42"
"2005-05-25 16:12:52"
"2005-05-25 16:32:19"
"2005-05-25 16:34:24"
"2005-05-25 16:48:24"
"2005-05-25 16:50:20"
"2005-05-25 16:50:28"
"2005-05-25 17:17:04"
"2005-05-25 17:22:10"
"2005-05-25 17:30:42"
"2005-05-25 17:46:33"
"2005-05-25 17:54:12"
"2005-05-25 18:18:19"
"2005-05-25 18:28:09"
"2005-05-25 18:30:05"
"2005-05-25 18:40:20"
"2005-05-25 18:43:49"
"2005-05-25 18:45:19"
"2005-05-25 18:57:24"
"2005-05-25 19:07:40"
"2005-05-25 19:12:42"
"2005-05-25 19:13:25"
"2005-05-25 19:27:51"
"2005-05-25 19:30:46"
"2005-05-25 19:31:18"
"2005-05-25 19:37:02"
"2005-05-25 19:37:47"
"2005-05-25 19:41:29"
"2005-05-25 19:46:21"
"2005-05-25 20:26:42"
"2005-05-25 20:46:11"
"2005-05-25 20:48:50"
"2005-05-25 21:07:59"
"2005-05-25 21:10:40"
"2005-05-25 21:19:53"
"2005-05-25 21:20:03"
"2005-05-25 21:21:56"
"2005-05-25 21:42:46"
"2005-05-25 21:46:54"
"2005-05-25 21:48:30"
"2005-05-25 21:48:41"
"2005-05-25 21:58:58"
"2005-05-25 22:02:30"
"2005-05-25 22:25:18"
"2005-05-25 22:48:22"
"2005-05-25 23:00:21"
"2005-05-25 23:34:22"
"2005-05-25 23:34:53"
"2005-05-25 23:43:47"
"2005-05-25 23:45:52"
"2005-05-25 23:49:56"
"2005-05-25 23:59:03"
"2005-05-26 00:07:11"
"2005-05-26 00:17:50"
"2005-05-26 00:25:23"
"2005-05-26 00:28:05"
"2005-05-26 00:28:39"
"2005-05-26 00:37:28"
"2005-05-26 00:41:10"
"2005-05-26 00:47:47"
"2005-05-26 00:55:56"
"2005-05-26 01:15:05"
"2005-05-26 01:19:05"
"2005-05-26 01:25:21"
"2005-05-26 01:27:11"
"2005-05-26 01:34:28"
"2005-05-26 01:46:20"
"2005-05-26 01:51:48"
"2005-05-26 02:02:05"
"2005-05-26 02:26:23"
"2005-05-26 02:26:49"
"2005-05-26 02:28:36"
"2005-05-26 02:49:11"
"2005-05-26 02:50:31"
"2005-05-26 03:07:43"
"2005-05-26 03:09:30"
"2005-05-26 03:11:12"
"2005-05-26 03:14:15"
"2005-05-26 03:17:42"
"2005-05-26 03:42:10"
"2005-05-26 03:44:10"
"2005-05-26 03:46:26"
"2005-05-26 03:47:39"
"2005-05-26 04:14:29"
"2005-05-26 04:21:46"
"2005-05-26 04:26:06"
"2005-05-26 04:46:23"
"2005-05-26 04:47:06"
"2005-05-26 04:49:17"
"2005-05-26 05:01:18"
"2005-05-26 05:29:49"
"2005-05-26 05:30:03"
